co2,trade_co2,oil_co2,gas_co2,flaring_co2,coal_co2,cement_co2,consumption_co2,other_industry_co2,gdp
986.482,,53.853,17.166,,913.479,0.004,,1.98,767532728320.0
1035.471,,50.274,19.016,,964.05,0.004,,2.127,855994335232.0
1203.861,,66.688,19.866,,1115.249,0.005,,2.054,869070536704.0
1052.813,,71.547,19.665,,959.763,0.005,,1.834,799355502592.0
1165.706,,73.236,23.508,,1066.609,0.006,,2.347,890110017536.0
1271.582,,83.931,24.901,,1160.396,0.007,,2.347,893975461888.0
1258.667,,88.17,25.087,,1143.128,0.007,,2.274,917451833344.0
1343.566,,89.321,27.495,,1224.395,0.007,,2.347,954787430400.0
1442.542,,107.077,28.458,,1304.578,0.008,,2.421,986598473728.0
1317.98,,114.617,28.946,,1172.136,0.008,,2.274,905134473216.0
1367.697,,120.93,30.741,,1213.597,0.008,,2.421,925041164288.0
1518.981,,133.981,36.834,,1345.443,0.008,,2.714,1046397583360.0
1670.971,,147.941,38.882,,1481.645,0.008,,2.494,1014196404224.0
1747.718,,159.19,35.259,,1551.136,0.006,,2.127,1099047305216.0
1479.159,,179.217,36.482,,1261.251,0.007,,2.201,1102169636864.0
1738.246,,230.645,39.71,,1465.534,0.009,,2.347,1085154983936.0
1423.669,,246.36,32.961,,1142.651,0.009,,1.687,1054213734400.0
1435.758,,282.488,37.948,,1112.892,0.01,,2.421,1105913315328.0
1896.736,,334.413,50.127,,1509.469,0.012,,2.714,1244263743488.0
1698.32,,325.557,56.829,,1313.207,0.013,,2.714,1274653966336.0
1758.185,,341.244,59.174,,1340.481,14.206,,3.081,1296540106752.0
1906.048,,345.266,65.336,,1477.933,14.506,,3.007,1372770926592.0
1862.839,,396.207,71.939,,1376.693,15.066,,2.934,1378144616448.0
1830.965,,404.402,78.054,,1330.158,15.417,,2.934,1385247277056.0
1963.506,,445.598,95.462,,1404.59,14.996,,2.861,1461345452032.0
1744.916,,393.407,96.784,,1238.166,14.286,,2.274,1322627104768.0
1484.959,,366.621,84.214,,1021.482,10.809,,1.834,1237725872128.0
1257.814,,337.65,77.955,,834.233,6.656,,1.32,1051216904192.0
1348.877,,373.787,78.102,,889.861,5.587,,1.54,1015524950016.0
